#Time       v(in)      i(Vin)    
 0.         0.         0.        
 10.E-12    0.         0.        
 14.E-12    0.72      -9.8893E-6 
 16.E-12    1.08      -41.864E-6 
 20.E-12    1.8       -745.91E-6 
 24.E-12    1.8       -745.91E-6 
 28.E-12    1.8       -745.91E-6 
 32.E-12    1.8       -745.91E-6 
 36.E-12    1.8       -745.91E-6 
 40.E-12    1.8       -745.91E-6 
 44.E-12    1.8       -745.91E-6 
 48.E-12    1.8       -745.91E-6 
 52.E-12    1.8       -745.91E-6 
 56.E-12    1.8       -745.91E-6 
 60.E-12    1.8       -745.91E-6 
 67.E-12    1.8       -745.91E-6 
 72.E-12    1.8       -745.91E-6 
 77.E-12    1.8       -745.91E-6 
 82.E-12    1.8       -745.91E-6 
 87.E-12    1.8       -745.91E-6 
 92.E-12    1.8       -745.91E-6 
 97.E-12    1.8       -745.91E-6 
 102.E-12   1.8       -745.91E-6 
 107.E-12   1.8       -745.91E-6 
 114.E-12   1.8       -745.91E-6 
 118.E-12   1.8       -745.91E-6 
 127.E-12   1.8       -745.91E-6 
 136.E-12   1.8       -745.91E-6 
 145.E-12   1.8       -745.91E-6 
 154.E-12   1.8       -745.91E-6 
 163.E-12   1.8       -745.91E-6 
 172.E-12   1.8       -745.91E-6 
 181.E-12   1.8       -745.91E-6 
 190.E-12   1.8       -745.91E-6 
 199.E-12   1.8       -745.91E-6 
 208.E-12   1.8       -745.91E-6 
 217.E-12   1.8       -745.91E-6 
 226.E-12   1.8       -745.91E-6 
 235.E-12   1.8       -745.91E-6 
 244.E-12   1.8       -745.91E-6 
 253.E-12   1.8       -745.91E-6 
 262.E-12   1.8       -745.91E-6 
 271.E-12   1.8       -745.91E-6 
 280.E-12   1.8       -745.91E-6 
 289.E-12   1.8       -745.91E-6 
 298.E-12   1.8       -745.91E-6 
 307.E-12   1.8       -745.91E-6 
 313.E-12   1.8       -745.91E-6 
 319.E-12   1.8       -745.91E-6 
 325.E-12   1.8       -745.91E-6 
 336.E-12   1.8       -745.91E-6 
 343.E-12   1.8       -745.91E-6 
 350.E-12   1.8       -745.91E-6 
 357.E-12   1.8       -745.91E-6 
 364.E-12   1.8       -745.91E-6 
 371.E-12   1.8       -745.91E-6 
 378.E-12   1.8       -745.91E-6 
 385.E-12   1.8       -745.91E-6 
 392.E-12   1.8       -745.91E-6 
 405.E-12   1.8       -745.91E-6 
 412.E-12   1.8       -745.91E-6 
 419.E-12   1.8       -745.91E-6 
 426.E-12   1.8       -745.91E-6 
 433.E-12   1.8       -745.91E-6 
 450.E-12   1.8       -745.91E-6 
 463.E-12   1.8       -745.91E-6 
 476.E-12   1.8       -745.91E-6 
 489.E-12   1.8       -745.91E-6 
 498.E-12   1.8       -745.91E-6 
 507.E-12   1.8       -745.91E-6 
 516.E-12   1.8       -745.91E-6 
 527.E-12   1.8       -745.91E-6 
 538.E-12   1.8       -745.91E-6 
 545.E-12   1.8       -745.91E-6 
 559.E-12   1.8       -745.91E-6 
 567.E-12   1.8       -745.91E-6 
 580.E-12   1.8       -745.91E-6 
 589.E-12   1.8       -745.91E-6 
 598.E-12   1.8       -745.91E-6 
 607.E-12   1.8       -745.91E-6 
 638.E-12   1.8       -745.91E-6 
 656.E-12   1.8       -745.91E-6 
 674.E-12   1.8       -745.91E-6 
 686.E-12   1.8       -745.91E-6 
 698.E-12   1.8       -745.91E-6 
 707.E-12   1.8       -745.91E-6 
 716.E-12   1.8       -745.91E-6 
 725.E-12   1.8       -745.91E-6 
 734.E-12   1.8       -745.91E-6 
 743.E-12   1.8       -745.91E-6 
 752.E-12   1.8       -745.91E-6 
 767.E-12   1.8       -745.91E-6 
 777.E-12   1.8       -745.91E-6 
 787.E-12   1.8       -745.91E-6 
 797.E-12   1.8       -745.91E-6 
 807.E-12   1.8       -745.91E-6 
 817.E-12   1.8       -745.91E-6 
 829.E-12   1.8       -745.91E-6 
 841.E-12   1.8       -745.91E-6 
 853.E-12   1.8       -745.91E-6 
 865.E-12   1.8       -745.91E-6 
 873.E-12   1.8       -745.91E-6 
 881.E-12   1.8       -745.91E-6 
 889.E-12   1.8       -745.91E-6 
 897.E-12   1.8       -745.91E-6 
 905.E-12   1.8       -745.91E-6 
 913.E-12   1.8       -745.91E-6 
 921.E-12   1.8       -745.91E-6 
 936.E-12   1.8       -745.91E-6 
 944.E-12   1.8       -745.91E-6 
 952.E-12   1.8       -745.91E-6 
 960.E-12   1.8       -745.91E-6 
 973.E-12   1.8       -745.91E-6 
 980.E-12   1.8       -745.91E-6 
 987.E-12   1.8       -745.91E-6 
 994.E-12   1.8       -745.91E-6 
 1.001E-9   1.8       -745.91E-6 
 1.008E-9   1.8       -745.91E-6 
 1.013E-9   1.8       -745.91E-6 
 1.024E-9   1.8       -745.91E-6 
 1.031E-9   1.8       -745.91E-6 
 1.047E-9   1.8       -745.91E-6 
 1.063E-9   1.8       -745.91E-6 
 1.079E-9   1.8       -745.91E-6 
 1.095E-9   1.8       -745.91E-6 
