#Time       v(in)      i(Vin)     iter(0)   
 0.         0.         0.         3.        
 100.E-6    0.0495     221.97E-9  30.       
 200.E-6    0.0995     455.08E-9  3.        
 300.E-6    0.1495     706.45E-9  3.        
 400.E-6    0.1995     986.17E-9  3.        
 500.E-6    0.2495     1.3055E-6  3.        
 600.E-6    0.2995     1.6772E-6  3.        
 700.E-6    0.3495     2.1162E-6  3.        
 800.E-6    0.3995     2.6401E-6  3.        
 900.E-6    0.4495     3.27E-6    3.        
 0.001      0.4995     4.0311E-6  3.        
 0.0011     0.5495     4.954E-6   3.        
 0.0012     0.5995     6.0758E-6  3.        
 0.0013     0.6495     7.4414E-6  3.        
 0.0014     0.6995     9.1056E-6  3.        
 0.0015     0.7495     11.135E-6  3.        
 0.0016     0.7995     13.612E-6  3.        
 0.0017     0.8495     16.635E-6  3.        
 0.0018     0.8995     20.325E-6  3.        
 0.0019     0.9495     24.831E-6  3.        
 0.002      0.9995     30.334E-6  3.        
 0.0021     1.0495     37.054E-6  3.        
 0.0022     1.0995     45.261E-6  3.        
 0.0023     1.1495     55.285E-6  3.        
 0.0024     1.1995     67.528E-6  3.        
 0.0025     1.2495     82.481E-6  3.        
 0.0026     1.2995     100.74E-6  3.        
 0.0027     1.3495     123.05E-6  3.        
 0.0028     1.3995     0.060633   92.       
 0.0029     1.4495     0.074057   15.       
 0.003      1.4995     0.090454   12.       
 0.0031     1.5495     0.11048    12.       
 0.0032     1.5995     0.13494    12.       
 0.0033     1.6495     0.16482    9.        
 0.0034     1.6995     0.20131    9.        
 0.0035     1.7495     0.24588    9.        
 0.0036     1.7995     0.30032    9.        
 0.0037     1.8495     0.36681    9.        
 0.0038     1.8995     0.44802    9.        
 0.0039     1.9495     0.54721    9.        
 0.004      1.9995     0.66836    9.        
 0.0041     1.951      0.5505     26.       
 0.0042     1.901      0.45071    9.        
 0.0043     1.851      0.36902    6.        
 0.0044     1.801      0.30212    6.        
 0.0045     1.751      0.24736    6.        
 0.0046     1.701      0.20252    3.        
 0.0047     1.651      0.16581    3.        
 0.0048     1.601      0.13575    3.        
 0.0049     1.551      0.11115    3.        
 0.005      1.501      0.090999   3.        
 0.0051     1.451      0.074503   3.        
 0.0052     1.401      0.060998   3.        
 0.0053     1.351      0.04994    3.        
 0.0054     1.301      0.040887   3.        
 0.0055     1.251      0.033475   3.        
 0.0056     1.201      0.027407   3.        
 0.0057     1.151      0.022438   3.        
 0.0058     1.101      0.01837    3.        
 0.0059     1.051      0.015039   3.        
 0.006      1.001      0.012311   3.        
 0.0061     0.951      0.010078   3.        
 0.0062     0.901      0.0082492  3.        
 0.0063     0.851      0.0067514  3.        
 0.0064     0.801      0.0055246  3.        
 0.0065     0.751      0.0045195  3.        
 0.0066     0.701      0.0036957  3.        
 0.0067     0.651      0.0030203  3.        
 0.0068     0.601      0.0024661  3.        
 0.0069     0.551      0.0020109  3.        
 0.007      0.501      0.0016364  3.        
 0.0071     0.451      0.0013276  3.        
 0.0072     0.401      0.0010721  3.        
 0.0073     0.351      859.53E-6  3.        
 0.0074     0.301      681.5E-6   3.        
 0.0075     0.251      530.83E-6  3.        
 0.0076     0.201      401.46E-6  3.        
 0.0077     0.151      288.2E-6   3.        
 0.0078     0.101      186.51E-6  3.        
 0.0079     0.051      92.3E-6    3.        
 0.008      0.001      1.7973E-6  3.        
#Time       v(in)      i(Vin)     iter(0)   
 0.         0.         0.         3.        
 100.E-6   -0.0495     89.55E-6   35.       
 200.E-6   -0.0995     183.59E-6  3.        
 300.E-6   -0.1495     285.E-6    3.        
 400.E-6   -0.1995     397.85E-6  3.        
 500.E-6   -0.2495     526.67E-6  3.        
 600.E-6   -0.2995     676.62E-6  3.        
 700.E-6   -0.3495     853.73E-6  3.        
 800.E-6   -0.3995     0.0010651  3.        
 900.E-6   -0.4495     0.0013192  3.        
 0.001     -0.4995     0.0016263  3.        
 0.0011    -0.5495     0.0019986  3.        
 0.0012    -0.5995     0.0024511  3.        
 0.0013    -0.6495     0.0030021  3.        
 0.0014    -0.6995     0.0036735  3.        
 0.0015    -0.7495     0.0044923  3.        
 0.0016    -0.7995     0.0054914  3.        
 0.0017    -0.8495     0.0067109  3.        
 0.0018    -0.8995     0.0081997  3.        
 0.0019    -0.9495     0.010018   3.        
 0.002     -0.9995     0.012238   3.        
 0.0021    -1.0495     0.014949   3.        
 0.0022    -1.0995     45.262E-6  4.        
 0.0023    -1.1495     55.285E-6  4.        
 0.0024    -1.1995     67.528E-6  4.        
 0.0025    -1.2495     82.481E-6  44.       
 0.0026    -1.2995     100.74E-6  109.      
 0.0027    -1.3495     123.05E-6  3.        
 0.0028    -1.3995     150.29E-6  84.       
 0.0029    -1.4495     183.57E-6  12.       
 0.003     -1.4995     224.21E-6  9.        
 0.0031    -1.5495     273.86E-6  9.        
 0.0032    -1.5995     334.49E-6  9.        
 0.0033    -1.6495     408.55E-6  9.        
 0.0034    -1.6995     499.E-6    6.        
 0.0035    -1.7495     609.48E-6  6.        
 0.0036    -1.7995     744.42E-6  6.        
 0.0037    -1.8495     909.24E-6  6.        
 0.0038    -1.8995     0.0011105  6.        
 0.0039    -1.9495     0.0013564  6.        
 0.004     -1.9995     0.0016567  6.        
 0.0041    -1.951      0.0013646  23.       
 0.0042    -1.901      0.0011172  6.        
 0.0043    -1.851      914.71E-6  6.        
 0.0044    -1.801      748.9E-6   6.        
 0.0045    -1.751      613.15E-6  6.        
 0.0046    -1.701      502.E-6    3.        
 0.0047    -1.651      411.01E-6  3.        
 0.0048    -1.601      336.5E-6   3.        
 0.0049    -1.551      275.5E-6   3.        
 0.005     -1.501      225.56E-6  3.        
 0.0051    -1.451      184.68E-6  3.        
 0.0052    -1.401      151.2E-6   3.        
 0.0053    -1.351      123.79E-6  3.        
 0.0054    -1.301      101.35E-6  3.        
 0.0055    -1.251      82.977E-6  3.        
 0.0056    -1.201      67.934E-6  3.        
 0.0057    -1.151      55.618E-6  3.        
 0.0058    -1.101      45.534E-6  3.        
 0.0059    -1.051      37.277E-6  3.        
 0.006     -1.001      30.517E-6  3.        
 0.0061    -0.951      24.981E-6  3.        
 0.0062    -0.901      20.448E-6  3.        
 0.0063    -0.851      16.735E-6  3.        
 0.0064    -0.801      13.694E-6  3.        
 0.0065    -0.751      11.203E-6  3.        
 0.0066    -0.701      9.1608E-6  3.        
 0.0067    -0.651      7.4866E-6  3.        
 0.0068    -0.601      6.1129E-6  3.        
 0.0069    -0.551      4.9846E-6  3.        
 0.007     -0.501      4.0562E-6  3.        
 0.0071    -0.451      3.2907E-6  3.        
 0.0072    -0.401      2.6573E-6  3.        
 0.0073    -0.351      2.1305E-6  3.        
 0.0074    -0.301      1.6892E-6  3.        
 0.0075    -0.251      1.3157E-6  3.        
 0.0076    -0.201      995.06E-9  3.        
 0.0077    -0.151      714.32E-9  3.        
 0.0078    -0.101      462.25E-9  3.        
 0.0079    -0.051      228.73E-9  3.        
 0.008     -0.001      4.3928E-9  3.        
Gnucap   System status
iterations: op=0, dc=0, tran=592, fourier=0, total=1398
transient timesteps: accepted=279, rejected=43, total=322
nodes: user=1, subckt=0, model=1, total=2
dctran density=100.0%, ac density=100.0%
