// ******** psp104 nmos paramset ********
// lukas deutz 2025
paramset N1 PSP104VA;
   parameter real l=1.0u;
   parameter real w=1.0u;
   parameter integer nf=1;
   parameter real ad=1.0e-12;
   parameter real pd=1.0e-6;
   parameter real as=1.0e-12;
   parameter real ps=1.0e-6;
   parameter real sa=0.0;
   parameter real sb=0.0;
   parameter real sd=0.0;
 .TYPE=1; .L=l; .W=w; .NF=nf; .AD=ad; .PD=pd; .AS=as; .PS=ps; .SA=sa; .SB=sb; .SD=sd;
endparamset

// ******** psp104 pmos paramset ********
// lukas deutz 2025
paramset P1 PSP104VA;
   parameter real l=1.0u;
   parameter real w=1.0u;
   parameter integer nf=1;
   parameter real ad=1.0e-12;
   parameter real pd=1.0e-6;
   parameter real as=1.0e-12;
   parameter real ps=1.0e-6;
   parameter real sa=0.0;
   parameter real sb=0.0;
   parameter real sd=0.0;
 .TYPE=(- 1); .L=l; .W=w; .NF=nf; .AD=ad; .PD=pd; .AS=as; .PS=ps; .SA=sa; .SB=sb; .SD=sd;
endparamset

//* 17-stage CMOS ring oscillator (tran) ported from BSIM481/benchmark_test/ro_17.b4
//* Enable verilog mode
ground \0 ;
// cmos inverter
module not1 (.z(z),.a(a),.vss(vss),.vdd(vdd));
  P1 #(.l(0.18u),.w(10u),.ad(5p),.pd(22u),.as(5p),.ps(22u),.sa(2u),.sb(8u),.nf(3),.sd(0.2u)) m01 (.d(z),.g(a),.s(vdd),.b(vdd));
  N1 #(.l(0.18u),.w(5u),.ad(5p),.pd(22u),.as(5p),.ps(22u),.sa(2u),.sb(8u),.nf(3),.sd(0.2u)) m02 (.d(z),.g(a),.s(vss),.b(vss));
endmodule // not1

// 17-stage ring oscillator
resistor #(.r(1G)) rkick (.p(n02),.n(\0 ));
not1 #() X01 (.z(n03),.a(n02),.vss(\0 ),.vdd(n01));
not1 #() X02 (.z(n04),.a(n03),.vss(\0 ),.vdd(n01));
not1 #() X03 (.z(n05),.a(n04),.vss(\0 ),.vdd(n01));
not1 #() X04 (.z(n06),.a(n05),.vss(\0 ),.vdd(n01));
not1 #() X05 (.z(n07),.a(n06),.vss(\0 ),.vdd(n01));
not1 #() X06 (.z(n08),.a(n07),.vss(\0 ),.vdd(n01));
not1 #() X07 (.z(n09),.a(n08),.vss(\0 ),.vdd(n01));
not1 #() X08 (.z(n10),.a(n09),.vss(\0 ),.vdd(n01));
not1 #() X09 (.z(n11),.a(n10),.vss(\0 ),.vdd(n01));
not1 #() X10 (.z(n12),.a(n11),.vss(\0 ),.vdd(n01));
not1 #() X11 (.z(n13),.a(n12),.vss(\0 ),.vdd(n01));
not1 #() X12 (.z(n14),.a(n13),.vss(\0 ),.vdd(n01));
not1 #() X13 (.z(n15),.a(n14),.vss(\0 ),.vdd(n01));
not1 #() X14 (.z(n16),.a(n15),.vss(\0 ),.vdd(n01));
not1 #() X15 (.z(n17),.a(n16),.vss(\0 ),.vdd(n01));
not1 #() X16 (.z(n18),.a(n17),.vss(\0 ),.vdd(n01));
not1 #() X17 (.z(n02),.a(n18),.vss(\0 ),.vdd(n01));
capacitor #(.c(0.1p)) c1 (.p(n18),.n(\0 ));
vsource #(.dc(2.0)) Vdd (.p(n01),.n(\0 ));
#Time       v(n02)     v(n05)     iter(0)   
 0.         0.         0.         0.        
 100.E-12   1.9127     0.020706   69.       
 200.E-12   0.43451    0.012274   41.       
 300.E-12   0.0028655  1.9514     41.       
 400.E-12   84.467E-6  1.9997     35.       
 500.E-12  -11.315E-6  1.9999     30.       
 600.E-12  -0.021902   1.9999     39.       
 700.E-12   1.9504     2.0083     40.       
 800.E-12   1.9982     0.16087    31.       
 900.E-12   2.         66.431E-6  41.       
 1.E-9      1.9999    -9.535E-6   45.       
 1.1E-9     2.0527     35.672E-6  40.       
 1.2E-9     0.11844   -0.12481    74.       
 1.3E-9     400.54E-6  1.9828     56.       
 1.4E-9     14.783E-6  2.         36.       
 1.5E-9    -73.663E-6  2.         48.       
 1.6E-9    -0.058684   2.0002     44.       
 1.7E-9     1.9615     2.0459     30.       
 1.8E-9     2.         0.019376   41.       
 1.9E-9     2.         184.73E-6  45.       
 2.E-9      2.0006     1.9775E-6  49.       
 2.1E-9     1.8563    -952.81E-6  49.       
 2.2E-9     0.015038   1.0735     45.       
 2.3E-9     126.73E-6  1.9976     40.       
 2.4E-9     5.651E-6   2.         53.       
 2.5E-9     59.389E-6  2.         42.       
 2.6E-9     0.67707    2.0005     45.       
 2.7E-9     1.9827     0.87294    30.       
 2.8E-9     1.9992     152.97E-6  30.       
 2.9E-9     2.        -51.365E-6  42.       
 3.E-9      1.9995    -14.383E-6  36.       
 3.1E-9     0.89062    0.0061826  45.       
 3.2E-9     0.0014997  1.9369     40.       
 3.3E-9     56.89E-6   1.9984     35.       
 3.4E-9    -22.355E-6  2.         42.       
 3.5E-9     0.011976   2.         46.       
 3.6E-9     1.7097     1.9916     38.       
 3.7E-9     2.0007     0.33585    36.       
 3.8E-9     2.         0.0024527  42.       
 3.9E-9     2.        -45.922E-6  42.       
 4.E-9      2.0016     130.85E-6  41.       
 4.1E-9     0.32261   -0.013859   50.       
 4.2E-9     0.0025633  1.9748     47.       
 4.3E-9    -29.174E-6  2.0001     44.       
 4.4E-9     89.466E-6  2.         35.       
 4.5E-9    -0.049765   1.9999     30.       
 4.6E-9     1.935      2.0645     39.       
 4.7E-9     1.9998     0.057259   46.       
 4.8E-9     2.         503.48E-6  42.       
 4.9E-9     1.9999     12.985E-6  44.       
 5.E-9      2.0727    -245.95E-6  46.       
 5.1E-9     0.046352   0.079276   76.       
 5.2E-9     213.51E-6  1.9843     71.       
 5.3E-9     8.3831E-6  2.         42.       
 5.4E-9    -915.28E-6  2.         41.       
 5.5E-9     0.097916   2.0004     43.       
 5.6E-9     1.9916     1.597      30.       
 5.7E-9     1.9995     0.0067379  35.       
 5.8E-9     2.         53.488E-6  41.       
 5.9E-9     2.0011    -5.0498E-6  46.       
 6.E-9      1.4401    -867.62E-6  43.       
 6.1E-9     0.0068529  1.6904     46.       
 6.2E-9    -78.839E-6  1.998      48.       
 6.3E-9    -1.6766E-6  2.         39.       
 6.4E-9     0.0056704  2.         40.       
 6.5E-9     1.2623     1.998      37.       
 6.6E-9     1.9969     0.51156    38.       
 6.7E-9     1.9999     0.0018326  48.       
 6.8E-9     2.         55.333E-6  41.       
 6.9E-9     1.9921     364.83E-9  41.       
 7.E-9      0.48038    0.01499    53.       
 7.1E-9     0.002399   1.9374     47.       
 7.2E-9     22.507E-6  2.0001     46.       
