// ******** psp104 nqs nmos paramset ********
// lukas deutz 2025
paramset N1 PSPNQS104VA;
   parameter real l=1.0u;
   parameter real w=1.0u;
   parameter integer nf=1;
   parameter real ad=1.0e-12;
   parameter real pd=1.0e-6;
   parameter real as=1.0e-12;
   parameter real ps=1.0e-6;
   parameter real sa=0.0;
   parameter real sb=0.0;
   parameter real sd=0.0;
 .TYPE=1; .L=l; .W=w; .NF=nf; .AD=ad; .PD=pd; .AS=as; .PS=ps; .SA=sa; .SB=sb; .SD=sd;
endparamset

// ******** psp104 nqs pmos paramset ********
// lukas deutz 2025
paramset P1 PSPNQS104VA;
   parameter real l=1.0u;
   parameter real w=1.0u;
   parameter integer nf=1;
   parameter real ad=1.0e-12;
   parameter real pd=1.0e-6;
   parameter real as=1.0e-12;
   parameter real ps=1.0e-6;
   parameter real sa=0.0;
   parameter real sb=0.0;
   parameter real sd=0.0;
 .TYPE=(- 1); .L=l; .W=w; .NF=nf; .AD=ad; .PD=pd; .AS=as; .PS=ps; .SA=sa; .SB=sb; .SD=sd;
endparamset

//* 17-stage CMOS ring oscillator (tran) ported from BSIM481/benchmark_test/ro_17.b4
//* Enable verilog mode
ground \0 ;
// cmos inverter
module not1 (.z(z),.a(a),.vss(vss),.vdd(vdd));
  P1 #(.l(0.18u),.w(10u),.ad(5p),.pd(22u),.as(5p),.ps(22u),.sa(2u),.sb(8u),.nf(3),.sd(0.2u)) m01 (.d(z),.g(a),.s(vdd),.b(vdd));
  N1 #(.l(0.18u),.w(5u),.ad(5p),.pd(22u),.as(5p),.ps(22u),.sa(2u),.sb(8u),.nf(3),.sd(0.2u)) m02 (.d(z),.g(a),.s(vss),.b(vss));
endmodule // not1

// 17-stage ring oscillator
resistor #(.r(1G)) rkick (.p(n02),.n(\0 ));
not1 #() X01 (.z(n03),.a(n02),.vss(\0 ),.vdd(n01));
not1 #() X02 (.z(n04),.a(n03),.vss(\0 ),.vdd(n01));
not1 #() X03 (.z(n05),.a(n04),.vss(\0 ),.vdd(n01));
not1 #() X04 (.z(n06),.a(n05),.vss(\0 ),.vdd(n01));
not1 #() X05 (.z(n07),.a(n06),.vss(\0 ),.vdd(n01));
not1 #() X06 (.z(n08),.a(n07),.vss(\0 ),.vdd(n01));
not1 #() X07 (.z(n09),.a(n08),.vss(\0 ),.vdd(n01));
not1 #() X08 (.z(n10),.a(n09),.vss(\0 ),.vdd(n01));
not1 #() X09 (.z(n11),.a(n10),.vss(\0 ),.vdd(n01));
not1 #() X10 (.z(n12),.a(n11),.vss(\0 ),.vdd(n01));
not1 #() X11 (.z(n13),.a(n12),.vss(\0 ),.vdd(n01));
not1 #() X12 (.z(n14),.a(n13),.vss(\0 ),.vdd(n01));
not1 #() X13 (.z(n15),.a(n14),.vss(\0 ),.vdd(n01));
not1 #() X14 (.z(n16),.a(n15),.vss(\0 ),.vdd(n01));
not1 #() X15 (.z(n17),.a(n16),.vss(\0 ),.vdd(n01));
not1 #() X16 (.z(n18),.a(n17),.vss(\0 ),.vdd(n01));
not1 #() X17 (.z(n02),.a(n18),.vss(\0 ),.vdd(n01));
capacitor #(.c(0.1p)) c1 (.p(n18),.n(\0 ));
vsource #(.dc(2.0)) Vdd (.p(n01),.n(\0 ));
#Time       v(n02)     v(n05)     iter(0)   
 0.         0.         0.         0.        
 100.E-12   1.9128     0.021124   116.      
 200.E-12   1.9846    -5.6353E-6  85.       
 300.E-12   0.69729    0.010222   108.      
 400.E-12   0.0030936  1.9181     97.       
 500.E-12   21.302E-6  1.9997     91.       
 600.E-12   2.288E-6   2.         89.       
 700.E-12  -0.0085769  1.9999     95.       
 800.E-12   1.8944     2.0049     90.       
 900.E-12   1.9991     0.14812    102.      
 1.E-9      2.         519.82E-6  91.       
 1.1E-9     1.9999     1.3529E-6  93.       
 1.2E-9     2.0701    -43.922E-6  95.       
 1.3E-9     0.079711  -0.08176    90.       
 1.4E-9     424.38E-6  1.982      83.       
 1.5E-9     5.2738E-6  1.9999     99.       
 1.6E-9    -929.41E-6  2.         102.      
 1.7E-9     0.080681   2.0003     92.       
 1.8E-9     1.9772     1.4989     79.       
 1.9E-9     1.9999     0.0065864  88.       
 2.E-9      2.         26.463E-6  100.      
 2.1E-9     2.0003    -10.726E-6  107.      
 2.2E-9     1.0564     0.0035722  103.      
 2.3E-9     0.0032034  1.8708     103.      
 2.4E-9     21.097E-6  1.9988     98.       
 2.5E-9    -20.695E-6  2.         85.       
 2.6E-9     0.01127    1.9999     91.       
 2.7E-9     1.8221     1.988      81.       
 2.8E-9     1.9982     0.27465    95.       
 2.9E-9     2.         0.001032   101.      
 3.E-9      2.         3.1047E-6  101.      
 3.1E-9     2.0357     31.298E-6  94.       
 3.2E-9     0.16709   -0.11758    109.      
 3.3E-9     602.27E-6  1.9813     101.      
 3.4E-9     2.4981E-6  1.9999     90.       
 3.5E-9    -140.16E-6  2.         106.      
 3.6E-9    -0.046833   2.0003     86.       
 3.7E-9     1.9768     1.9451     81.       
 3.8E-9     1.9998     0.014136   103.      
 3.9E-9     2.         44.418E-6  90.       
 4.E-9      2.0009    -3.1163E-6  88.       
 4.1E-9     1.4764    -913.99E-6  86.       
 4.2E-9     0.0075294  1.6982     91.       
 4.3E-9     24.68E-6   1.9982     102.      
 4.4E-9    -13.375E-6  2.         102.      
 4.5E-9     0.010347   2.         102.      
 4.6E-9     1.5644     1.9938     83.       
 4.7E-9     1.9972     0.38505    91.       
 4.8E-9     2.         0.0018013  101.      
 4.9E-9     2.         3.2612E-6  95.       
 5.E-9      2.0084     112.39E-6  92.       
 5.1E-9     0.29082   -0.039007   101.      
 5.2E-9     0.0011209  1.9777     105.      
 5.3E-9     3.0272E-6  1.9999     92.       
 5.4E-9     116.01E-6  2.         87.       
 5.5E-9    -0.083095   2.0001     97.       
 5.6E-9     1.9677     2.1122     67.       
 5.7E-9     1.9998     0.025509   92.       
 5.8E-9     2.         115.93E-6  96.       
 5.9E-9     2.0006     1.6966E-6  87.       
 6.E-9      1.8433    -0.0010311  103.      
 6.1E-9     0.015438   1.2281     102.      
 6.2E-9     50.984E-6  1.9968     108.      
 6.3E-9    -265.4E-9   2.         103.      
 6.4E-9     0.0043643  2.         91.       
 6.5E-9     1.1017     1.9987     78.       
 6.6E-9     1.995      0.52374    94.       
 6.7E-9     2.         0.0026227  97.       
 6.8E-9     2.         7.6038E-6  95.       
 6.9E-9     1.9927     64.224E-6  94.       
 7.E-9      0.40111    0.0076089  100.      
 7.1E-9     0.0019474  1.9609     107.      
 7.2E-9     3.4685E-6  1.9999     104.      
